code,date_de1,date_do,gfwid,globalid,objectid,parties,resource,shape_Area,shape_Length,statut,sup_sig_ha,type
8699,,,b0626bd9-5166-4796-a934-d1b2e1f25919,{F55C74BD-1577-4786-A29B-BC43069699A3},728,KASHAMA DRC SPRL,"Au, Diamant, Nb-Ta",46479579.44981736,35252.68219999969,Demande Approuvée,4582,PR (PP)
9423,,,41ca2827-8db5-4e35-bcb7-dee0f7149767,{C376F4D1-C047-425D-A1AB-99A28758316E},769,KEL- EX DEVELOPMENTS SPRL,"Au, Diamant, Nb-Ta",153223212.3704523,74218.76879999042,Demande Approuvée,15105,PR (PP)
9628,,,776666f5-fbf0-4907-a802-dbfa23c37c2c,{B6D60A97-22B2-4F4B-87F0-DF57DFF5CC08},798,SOCIETE D'INVESTISSEMENT DU HAUT UELE,Au,8607278.941429922,16700.134399995208,Demande Approuvée,849,PR (PP)
9629,,,9a1f74f7-92d4-43c9-a4eb-42713201d89a,{39FA76A7-6DF0-4B02-9DB4-DF9511A2296D},799,SOCIETE D'INVESTISSEMENT DU HAUT UELE,"Au, Diamant",19797005.514819212,24121.624000005424,Demande Approuvée,1952,PR (PP)
9630,,,1ca72b42-9837-4334-ad20-15eebac45c46,{1727BAD1-AAC0-4618-ADA2-51B44C0F3F26},800,SOCIETE D'INVESTISSEMENT DU HAUT UELE,Au,88657442.90190165,40821.71220000088,Demande Approuvée,8740,PR (PP)
9631,,,d7cbb063-7fca-4159-b803-6335728c8d4d,{D2D0AAEF-B29F-4F4C-941B-ACA5B39A0994},801,SOCIETE D'INVESTISSEMENT DU HAUT UELE,Au,21519401.85635228,35257.417599990964,Demande Approuvée,2121,PR (PP)
9637,,,129445b3-ce94-4937-9e7f-b8e15dd190bf,{AC67E51A-DDA7-4ED9-BBDE-183BF094C00B},803,ORION MINING CONGO,Au,215304932.64900663,77947.63039999455,Demande Approuvée,21225,PR (PP)
12485,,,6ca76b81-c3e7-4204-8472-e54c5212617f,{338D2793-C308-4D24-9E19-96792177B4E8},954,NEW TIME SPRL,"Au, Diamant, Nb-Ta, SnO2",55110443.19963207,29694.56480000168,Demande Approuvée,5433,PR (PP)
12486,,,f7e9c244-2cee-4b6f-884a-bd16bd55db19,{65C80D54-41DC-4655-8A86-0D3B595F66A8},955,NEW TIME SPRL,"Au, Diamant, Nb-Ta, SnO2",68905859.84043175,44560.84120000899,Demande Approuvée,6793,PR (PP)
12550,,,643fd5a3-7b31-4d89-8c95-699855f4b53f,{AF998325-7966-41E8-940F-1BA9FCAF9B0A},964,RAINMAKER CAPITAL MINIER Sprl,"Ag, Au, Diamant, Fe, Nb, Nb-Ta, Pt, SnO2, W",17215420.04427979,18556.02039999515,Demande Approuvée,1697,PR (PP)
12551,,,a61d70da-9059-4da7-8eff-d47e5f790220,{5D795EDB-35E8-4CF1-83F2-6316A62F8708},965,RAINMAKER CAPITAL MINIER Sprl,"Ag, Au, Diamant, Fe, Nb, Nb-Ta, Pt, SnO2",96423000.78394295,53816.15299999714,Demande Approuvée,9506,PR (PP)
12552,,,d6c4b08c-265d-4403-ae31-0b9daf1858eb,{13DA6C52-352B-4595-8BEE-32C67AE06179},966,RAINMAKER CAPITAL MINIER Sprl,"Ag, Au, Diamant, Fe, Nb, Nb-Ta, Pt, SnO2",301470388.8271881,83548.92099999636,Demande Approuvée,29720,PR (PP)
12980,,,531bf2c9-8f73-4a93-a5f3-f33d8aec1c3a,{229EB2B3-459E-476C-91E2-7365F05F51AD},1073,DEVON RESOURCES,"Au, Diamant",120522308.49601415,81647.92679999769,Nouvelle Demande,11881,PR (PP)
12989,,,adc02566-a9c4-43f3-baea-ecfd0ec0f999,{7C08C793-8760-4A02-8F55-D30BC009A184},1081,DEVON RESOURCES,"Au, Diamant",130859203.48721778,83499.98319999129,Nouvelle Demande,12900,PR (PP)
12992,,,d3728819-a450-4478-8ba0-66f1999b30e2,{72D60E31-EDD9-4CA8-AE0C-634EF93CB8EA},1083,DEVON RESOURCES,"Au, Diamant",115380388.8988518,51965.0132,Nouvelle Demande,11374,PR (PP)
12996,,,7b5b4aa1-ff6a-465e-b7a4-ac93f2135329,{2F886CD0-5264-4E8B-823A-CC1151779D93},1087,DEVON RESOURCES,"Au, Diamant",150674252.3996357,61239.65619999915,Nouvelle Demande,14854,PR (PP)
13006,,,352f5a77-62bc-40a2-9bea-76dca938b1d6,{860C956C-AC77-4251-8470-6DC338021266},1097,CONCORDE POUR L'INDUSTRIE ET L'EXPLOITATION Sprl,"Au, Nb-Ta",24105420.59931947,29695.860400006175,Nouvelle Demande,2376,PR (AS)
2267,2012-02-04T00:00:00Z,2007-02-05T00:00:00Z,344cf9ca-63dd-4e35-a166-d92c0f26a2fa,{12C52033-D14F-4CEC-85B4-53F4D4A69129},2226,KGL-ERW Sprl,"Ag, Au, Cr, Nb, Sn, Ta",229811726.42354244,126170.50379999727,Radiation en cours,22655,PR (AS)
2274,2012-02-04T00:00:00Z,2007-02-05T00:00:00Z,dd80c6e5-272d-49d8-8503-058c331f3cc0,{6ED4A42F-4832-48F0-92E1-641C1FE76CF4},2227,KGL-ERW Sprl,"Ag, Au, Nb, Sn, Ta",119648785.48393793,46388.47159999609,Actif-En Renouvellement,11795,PR (AS)
2295,2012-02-04T00:00:00Z,2007-02-05T00:00:00Z,53a1a3af-c761-4c04-b9d4-0c8901c1175b,{AA0C40DD-5381-41B1-9A4F-2F365122EB3B},2239,KGL-ERW Sprl,"Ag, Au, Cr, Nb, Sn, Ta",392758885.8939082,79818.07640000433,Radiation en cours,38719,PR (AS)
