Zone_ID,Zone_Name,Year,Annual_Loss_ha
1,Uekomba,2001.0,34.4518936786
2,Bongupanda,2002.0,102.5021431291
3,Badengaido,2003.0,3022.1449436695
4,Molokay,2004.0,338.4665770843
5,Bandisende,2005.0,2410.7014252315
6,Ebiane,2006.0,119.2625238374
7,Eboyo-Bapukeli,2007.0,1241.8200595276
8,Mamopi,2008.0,72.55072204810001
9,Nduye,2009.0,304.2474664713
10,Epulu,2010.0,611.9090845684
11,Salate,2011.0,451.6767412217
12,Seti-Utama,2012.0,454.7805154268
13,Babama,2013.0,288.4958123797001
14,Koki,2014.0,542.6173254358999
15,Comboni,2015.0,475.3430195368
16,Akokora,2016.0,229.0585363486
17,Bukulani,2017.0,434.218011317
18,Malembi,2018.0,554.4892617713
19,Dingbo,2019.0,276.8566591098
20,Zunguluka,2020.0,288.65100109
21,Ekwe,2021.0,603.1409224388001
22,Babesua,2022.0,118.3313915758
23,Bamaro,2023.0,208.573626594
24,Melebwe,2024.0,610.2020087558001
25,Nzaro,,82.4052051496
26,Alambi,,85.8193567756
27,Apana,,166.0519199821
28,Ambanzani,,497.9229768798999
29,Andagukodi,,684.0718348410999
30,FIowe,,243.801463824
31,Bedegao,,242.715142852
32,Mastinga,,365.6246013807
33,Okapi_2025,2025.0,1742.13
