YEAR,MONT_MBIA,ENJEWE,FORET_DE_ZOO,LENDA,AFARAMA
2001,0.0,4.8108500182,0.1551887103,1.3966983924,5.6643879246
2002,0.0,17.6139186149,4.5004725976,0.0775943551,7.1386806721
2003,0.0,5.6643879246,0.0,0.0,1.0087266167
2004,0.0,16.4500032879,0.3103774205,0.1551887103,4.9660387284
2005,0.0,18.855428297,0.0,0.0,3.2589629155
2006,0.0,6.517925831099999,0.0,0.0,0.6983491962
2007,0.0,11.0959927838,0.2327830654,0.0,24.9077879973
2008,0.0,7.2938693824,0.0,0.0,0.3103774205
2009,0.0,24.8301936421,0.0,0.0,6.7507088965
2010,0.0,3.1813685604,1.6294814578,0.0,3.9573121117
2011,0.0,2.4054250091,0.3103774205,0.2327830654,20.8728815304
2012,0.0775943551,1.3966983924,0.1551887103,0.1551887103,5.89717099
2013,0.0,1.3191040372,0.0,0.0,2.1726419437
2014,0.0,7.9922185786,0.0,0.0,11.2511814941
2015,0.0,11.8719363352,0.0,0.0,1.8622645232
2016,0.0,16.6051919982,0.0,0.0,1.3191040372
2017,0.0,15.906842802,0.6207548411,0.0,4.267689532199999
2018,0.0,32.977600931,0.0,0.0,2.2502362988
2019,0.0,30.8825533424,0.0,0.0,3.2589629155
2020,0.0,178.6222055132,0.0,0.3103774205,4.5004725976
2021,0.6207548411,119.4953069028,0.0,0.0,6.1299540554
2022,0.0,128.4962520981,0.0775943551,0.0,9.2337282607
2023,0.0,213.6948540327,1.3966983924,0.0,1.4742927475
2024,0.2327830654,171.4835248411,0.1551887103,0.0,1.0087266167
2025,0.2327830654,129.2721956495,0.147429274785,0.0,0.5431604858999999
