Year,Annual_Loss_ha,Loss_Percentage
2001,465.8765082107,0.03
2002,586.4581360853999,0.04
2003,142.0752642461,0.01
2004,353.6750706903,0.03
2005,603.0633280836,0.04
2006,355.5373352134,0.03
2007,1241.1217103315,0.09
2008,261.570571149,0.02
2009,760.8902464214,0.06
2010,344.9845029155,0.03
2011,813.7320022660999,0.06
2012,295.2465212761,0.02
2013,443.8397113533001,0.03
2014,852.6067741871,0.06
2015,735.3617035830999,0.05
2016,986.3794424342001,0.07
2017,1071.2676669482,0.08
2018,1068.784647584,0.08
2019,1166.7087237602,0.08
2020,1324.3804533879,0.1
2021,1441.703118347,0.11
2022,1958.6367122344,0.14
2023,1901.1392950818,0.14
2024,1819.8980052589,0.13
2025,1742.128395385577,0.001269217831404325
