Year,Category,Forest_Loss_ha,Loss_Rate_Percent
2001,Reserve_Summary,465.88,0.03
2002,Reserve_Summary,586.46,0.04
2003,Reserve_Summary,142.08,0.01
2004,Reserve_Summary,353.68,0.03
2005,Reserve_Summary,603.06,0.04
2006,Reserve_Summary,355.54,0.03
2007,Reserve_Summary,1241.12,0.09
2008,Reserve_Summary,261.57,0.02
2009,Reserve_Summary,760.89,0.06
2010,Reserve_Summary,344.98,0.03
2011,Reserve_Summary,813.73,0.06
2012,Reserve_Summary,295.25,0.02
2013,Reserve_Summary,443.84,0.03
2014,Reserve_Summary,852.61,0.06
2015,Reserve_Summary,735.36,0.05
2016,Reserve_Summary,986.38,0.07
2017,Reserve_Summary,1071.27,0.08
2018,Reserve_Summary,1068.78,0.08
2019,Reserve_Summary,1166.71,0.08
2020,Reserve_Summary,1324.38,0.1
2021,Reserve_Summary,1441.7,0.11
2022,Reserve_Summary,1958.64,0.14
2023,Reserve_Summary,1901.14,0.14
2024,Reserve_Summary,1819.9,0.13
2025,Reserve_Summary,1742.13,0.0012692178314043
