code,date_de1,date_do,gfwid,globalid,objectid,parties,resource,shape_Area,shape_Length,statut,sup_sig_ha,type
2813,,,69d2b965-5d87-4181-8a28-bc6f438ccdb0,{BAEE913F-2DF7-48D6-B0C1-93794444C1D0},594,MASTERS,"Au, Diamant",344304808.8784042,74221.80960000306,Demande Approuvée,33942,PR (PP)
3364,,,cab33936-3c76-4f01-8442-136d70b0331a,{B86053EE-8FE3-4B49-892A-3177BCA17CD0},602,GOLDBELTS EXPLORATION AND MINING Sprl,"Au, Cu, Sn",216036702.77753386,79785.17899999022,Demande Approuvée,21297,PR (AS)
3370,,,6741199a-74f4-44a8-a28f-0c5818b03b2a,{46BA9768-19D6-4D5A-84F0-4E92432751CD},603,GOLDBELTS EXPLORATION AND MINING Sprl,"Au, Cu, Diamant",186773072.23091787,87206.80719999224,Demande Approuvée,18412,PR (PP)
3371,,,2b8c14d8-aa64-444f-af53-e935448c3e90,{76622D23-86C7-4400-A020-F0F9796FB637},604,GOLDBELTS EXPLORATION AND MINING Sprl,"Ag, Au, Co, Cu, Nb, Pt, Sn, Ta, W",184199126.62559685,150299.1311999932,Demande Approuvée,18159,PR (PP)
4375,,,6e7e4ab5-a082-4b75-b19d-0af8c05da730,{986434A3-5B1A-41BE-98A2-7E51047F2895},619,Edouard Kambale,"Au, Nb, Sn, Ta, Wolfram",46482194.89854005,31542.942199997604,Demande Approuvée,4582,PR (AS)
4839,,,ab5437d2-bf50-4951-b4c0-54969d46366e,{D41B5F70-29F2-4249-AF91-1B56C6F6DF7F},629,MASTERS,Au,31009785.533453744,22274.574799999595,Demande Approuvée,3057,PR (PP)
4840,,,8d013840-6747-479e-b470-0c98df1bb995,{FB71C7F1-A5DB-4E73-AD50-E641AE63298B},630,MASTERS,Au,31009785.533474497,22274.574800007045,Demande Approuvée,3057,PR (PP)
7464,,,50b5e815-ad5d-420c-a686-2f36af7413e5,{6E6E6464-AFF8-43D6-A44F-21F3908202A0},682,World Mining Company,"Ag, Au, Nb, Pt, Sn, Ta, W",77455089.9907397,44528.49480000138,Demande Approuvée,7636,PR (PP)
8700,,,70a84463-b666-437f-80be-ed1804c1bc41,{F45F9A02-C648-4D86-912F-F1E8717274AC},729,KASHAMA DRC SPRL,"Au, Diamant, Nb-Ta",10328364.774484685,14844.388199992478,Demande Approuvée,1018,PR (PP)
9424,,,f86a2302-547c-43d3-97f6-560bfdcc004d,{91109530-F1BC-425C-90D3-59BB2C9BD6CD},770,KEL- EX DEVELOPMENTS SPRL,"Ag, Au, Diamant, Nb-Ta",122237145.416145,51960.469199992716,Demande Approuvée,12050,PR (PP)
9625,,,89be37d3-bab8-46a6-99a4-ff9b48d7ad42,{0B9A3456-F191-4195-90B2-527E45C3D44C},795,SOCIETE D'INVESTISSEMENT DU HAUT UELE,Au,20656907.47687793,27833.959200002253,Demande Approuvée,2036,PR (PP)
9626,,,84a690f5-6d52-4761-9326-371e503b1df1,{24A54EA0-E3E9-4D29-88A4-23ED18320037},796,SOCIETE D'INVESTISSEMENT DU HAUT UELE,Au,3442999.337149218,9278.237399995327,Demande Approuvée,339,PR (PP)
9627,,,d65b98f3-05d7-41d3-ae5e-0b0fdc6a9fd3,{6E07374B-2E89-4D80-A8EE-EB621EF856B7},797,SOCIETE D'INVESTISSEMENT DU HAUT UELE,Au,36150453.52551379,29687.401000001,Demande Approuvée,3564,PR (PP)
9633,,,15514272-8201-4a5c-8dd6-2e18a48e563d,{5E5B29F5-595F-4315-8877-8A50EB4D6952},802,SOCIETE D'INVESTISSEMENT DU HAUT UELE,Au,860778.3111319253,3711.125600002706,Demande Approuvée,85,PR (PP)
9659,,,e5dffb55-a977-4d03-a711-84858e75d1b4,{FFBF3731-4D4F-4D6C-A497-AB606B1A97B3},804,SHAMIKA CONGO KALEHE,"Fe, Nb-Ta, Sn, SnO2, Wolfram",8606444.876197165,12988.199599988759,Demande Approuvée,848,PR (PP)
11793,,,a28d095e-5013-4a70-bdd0-a4878d0fe0ad,{5FE96652-8FEA-4E15-83B5-5E6AA14BC528},889,SOCIETE MINIERE DE KILO MOTO,"Au, Diamant, Fe, Ta",144764247.990251,50128.047199994326,Demande Approuvée,14271,PR (PP)
11804,,,283e36da-820a-481b-8aba-63e3f68aa563,{A3A2D6D2-9D5E-492B-A14E-02A2FD914ECF},890,SOCIETE MINIERE DE KILO MOTO,"Au, Diamant, Fe, Ta",220533581.16604885,66814.93519999832,Demande Approuvée,21741,PR (PP)
12596,,,2feadeba-5dfe-4394-acf5-2a55dad07f4e,{27057882-FE3B-49B6-BE2A-ABD881AE3E1C},974,CONCORDE POUR L'INDUSTRIE ET L'EXPLOITATION Sprl,"Au, Nb-Ta",32713423.438890517,25977.330600000918,Demande Approuvée,3225,PR (AS)
12597,,,2bd2cf55-0aa8-4a49-b719-6ae6a4bfd89f,{72DAB730-347A-415C-9F39-DC8C0C12349B},975,CONCORDE POUR L'INDUSTRIE ET L'EXPLOITATION Sprl,"Au, Nb-Ta",1721510.70320256,5566.834600001574,Demande Approuvée,170,PR (AS)
12808,,,f4611e63-6ddd-4e28-840f-83fad4fdec20,{6FADEE6E-AB97-4AD7-B500-50966536851B},1003,FAMETAL MINING ET RESSOURCES DRC SPRL,"Au, Diamant",21516094.098567873,18554.17760000378,Demande Approuvée,2121,PR (PP)
12809,,,74a85955-1cd8-4df7-aced-5203797b7590,{A3580DA3-363E-4031-9D67-2E19EB00FA6C},1004,FAMETAL MINING ET RESSOURCES DRC SPRL,"Au, Diamant",30982554.55931935,22264.789999999106,Demande Approuvée,3054,PR (PP)
12969,,,dcb1ae8b-1da9-43db-9a65-79380a1e5230,{C09F94BD-EECF-4FBC-B06B-E626BD5A67F1},1062,DEVON RESOURCES,"Au, Diamant",26690217.98607826,27838.949399992824,Nouvelle Demande,2631,PR (PP)
12971,,,5878d867-7b6d-4cf3-a4d8-a58e777e12f0,{39102FBC-7F92-4D9D-8AA4-F52991E988EA},1064,DEVON RESOURCES,"Au, Diamant",3444304.1727584195,7423.534999996424,Nouvelle Demande,340,PR (PP)
12972,,,c7509137-9bd0-4bc5-9590-ef9f94460305,{2C36A6A4-D8AD-443D-B94F-D88AD4A972D4},1065,DEVON RESOURCES,"Au, Diamant",10332917.831145009,24120.341800004244,Nouvelle Demande,1019,PR (PP)
12975,,,27f3049a-3c24-4991-9399-4e59f19ecde6,{5267FAE3-9A17-4B6A-BC1F-7C41AD39BA80},1068,DEVON RESOURCES,"Au, Diamant",6887731.166290848,14846.13560000062,Demande Approuvée,679,PR (PP)
12978,,,3979f3e8-d8fd-48e5-924a-93e8d1cf4243,{533C9512-8814-4AE1-9D0A-0F6C5660341E},1071,DEVON RESOURCES,"Au, Diamant",19803287.66132868,22268.780200004578,Nouvelle Demande,1952,PR (PP)
12979,,,39d43cf4-08d2-41b5-93da-76142c0b2979,{F7435772-373F-4BFF-8F9C-D42496A90146},1072,DEVON RESOURCES,"Au, Diamant",185087482.57237664,74223.34359999746,Nouvelle Demande,18246,PR (PP)
12981,,,eb552aff-d723-4ad9-9344-b82e7211fe2d,{FD9C6E1D-5F77-41AF-87B9-F3D237E70C57},1074,DEVON RESOURCES,"Au, Diamant",141201444.84888744,68661.79579999298,Nouvelle Demande,13920,PR (PP)
12982,,,8ee6685a-c49a-43a0-a6be-6e8c9cd06f50,{839FAA2A-675B-40C2-928F-E38325F7A9ED},1075,DEVON RESOURCES,"Au, Diamant",6026804.068709992,12991.721399992704,Nouvelle Demande,594,PR (PP)
