Year,Tree_Cover  ,Lost_Ha
2000,28908914538,2890891.5
2001,48314125.22,4831.4
2002,88666293.67,8866.6
2003,28605934.96,2860.6
2004,49450882.53,4945.1
2005,62047550.14,6204.8
2006,33877695.45,3387.8
2007,147421515.3,14742.2
2008,23570061.31,2357
2009,88571628.55,8857.2
2010,46292016.33,4629.2
2011,108169634.8,10817
2012,47551372.71,4755.1
2013,94036598.98,9403.7
2014,183452454.1,18345.2
2015,141387778.3,14138.8
2016,224225184,22422.5
2017,264179293.4,26417.9
2018,243518244.4,24351.8
2019,252623166.1,25262.3
2020,303122348.3,30312.2
2021,267699749.3,26770
2022,403638851.9,40363.9
2023,324388633.2,32438.9
2024,400743806.5,40074.4
2025,458433920.7,45843.4
