Period ,lost(ha),Forest cover_,% net deforestation rate per year,% loss cover/year
2001,465.607100,1372134.39,,0.03
2002,589.1039513,1372010.90,-0.009%,0.04
2003,141.2055415,1372458.79,0.033%,0.01
2004,353.8644895,1372246.14,-0.015%,0.03
2005,604.9567092,1371995.04,-0.018%,0.04
2006,356.4163969,1372243.58,0.018%,0.03
2007,1240.536307,1371359.46,-0.064%,0.09
2008,265.2437061,1372334.76,0.071%,0.02
2009,759.3084402,1371840.69,-0.036%,0.06
2010,344.1981737,1372255.80,0.030%,0.03
2011,809.9599351,1371790.04,-0.034%,0.06
2012,293.9333314,1372306.07,0.038%,0.02
2013,443.3359087,1372156.66,-0.011%,0.03
2014,853.0330384,1371746.97,-0.030%,0.06
2015,738.5838591,1371861.42,0.008%,0.05
2016,992.3053167,1371607.69,-0.018%,0.07
2017,1070.950462,1371529.05,-0.006%,0.08
2018,1069.17186,1371530.83,0.000%,0.08
2019,1166.530993,1371433.47,-0.007%,0.09
2020,1326.373191,1371273.63,-0.012%,0.10
2021,1445.384872,1371154.62,-0.009%,0.11
2022,1964.814019,1370635.19,-0.038%,0.14
2023,1904.415468,1370695.58,0.004%,0.14
2024,1818.040679,1370781.96,0.006%,0.13
2025,903.4525417,1371696.55,0.067%,0.07
