N,Nom_ZC,Perte annuelle (ha) (2001-2024),,BABAMA,MOLOKAY,SALATE,EBIANE,MAMOPI,EPULU,EBOYO_BAPUKELI,BADENGAIDO,SETI_UTAMA___ZUNGULUKA,COMBONI,BANDISENDE,EKWE,AKOKORA,BUKULANI,NDUYE,MALEMBI,BAMARO,DINGBO,NZARO,ALAMBI,UEKOMBA,BUNGU,BABESUA,ANDAGUKODU,APANA,AMBANZANI,FIOWE,MASTINGA,BEDEGAO,,
1.0,BABAMA,299.9797769393,2001.0,5.1212274387,11.173587139,17.7691073252,7.216275027200001,1.6294814578,8.6905677748,14.742927475,98.389642307,22.5799573433,30.1842041462,20.9504758856,3.3365572707,9.1561339055,4.1900951771,18.4674565213,7.7594355132,1.6294814578,6.5955201862,3.7245290463,0.3879717757,0.9311322616,8.6905677748,14.742927475,18.3898621662,7.216275027200001,0.3103774205,2.1726419437,1.3966983924,1.2415096821,,
2.0,MOLOKAY,459.7465541554,2002.0,9.8544831017,18.7778339419,52.6089727793,6.1299540554,4.8108500182,64.48090911439999,23.5110896049,42.98727274300001,34.6846767439,19.7865605586,53.1521332652,1.0863209718,6.9058976067,5.198821793800001,17.5363242598,12.4150968211,4.4228782425,17.1483524841,1.784670168,0.9311322616,0.2327830654,2.4830193642,0.8535379064,19.0882113624,8.6905677748,27.2356186512,12.3375024659,3.5693403361,11.7167476249,,
3.0,SALATE,501.7251002817,2003.0,0.0,4.5780669528,0.2327830654,1.3966983924,0.0775943551,6.1299540554,3.6469346912,9.8544831017,7.526652447800001,6.6731145413,0.6983491962,2.2502362988,14.9757105404,1.2415096821,1.9398588783,9.2337282607,2.8709911399,10.8632097184,1.0863209718,3.6469346912,0.0,1.7070758129,1.2415096821,3.2589629155,2.5606137193,21.6488250817,1.8622645232,0.0,0.0,,
4.0,EBIANE,160.232343347,2004.0,2.948585495,10.7080210082,16.6827863533,11.4839645595,1.3966983924,27.8563734923,18.0794847457,30.2617985014,17.070758129,9.6217000363,6.1299540554,11.79434198,1.0863209718,15.1308992507,7.6042468029,2.4054250091,11.173587139,3.4917459809,0.2327830654,5.89717099,0.1551887103,1.784670168,2.0174532334,10.630426653,3.4141516258,9.5441056812,1.0087266167,0.3103774205,1.8622645232,,
5.0,MAMOPI,83.33633741160001,2005.0,28.6323170436,31.5809025386,7.681841158,3.1813685604,11.7167476249,22.8903347639,25.2181654178,72.47312769300001,53.0745389101,13.5014177929,17.5363242598,16.3724089328,3.4141516258,15.8292484469,8.1474072888,10.8632097184,13.4238234378,2.4830193642,0.7759435513,6.8283032516,1.0863209718,2.0174532334,4.5780669528,4.5780669528,2.1726419437,17.3811355495,5.354010504100001,4.1900951771,3.1037742053,,
6.0,EPULU,646.2833838919,2006.0,4.9660387284,4.5004725976,0.1551887103,0.2327830654,0.1551887103,13.0358516621,8.225001644,60.8339744233,56.566284891,18.3898621662,29.4082605949,2.0950475886,7.8370298683,6.9834919619,4.6556613079,4.112500822,13.1134460173,5.8195766349,0.0775943551,4.0349064668,0.1551887103,1.9398588783,4.267689532199999,15.0533048955,1.6294814578,0.4655661308,0.0,0.0,3.3365572707,,
7.0,EBOYO_BAPUKELI,388.3597474343001,2007.0,17.3035411944,48.4964719573,56.17831311539999,20.7176928202,30.029015436,68.5158155813,20.640098465,169.4660716076,101.0278503815,37.4004791735,112.1238431653,35.8485920708,15.5964653815,24.2870331562,14.6653331199,42.8320840327,11.0959927838,12.5702855313,3.2589629155,3.9573121117,1.3191040372,19.0882113624,25.916514614,24.9077879973,2.327830654,44.6167542007,12.6478798865,6.9834919619,11.8719363352,,
8.0,BADENGAIDO,3609.5342120166,2008.0,3.3365572707,6.9834919619,5.198821793800001,3.4141516258,6.9834919619,12.6478798865,25.9941089691,19.3209944278,28.1667509128,2.948585495,18.7002395867,1.5518871026,1.7070758129,8.6905677748,9.6217000363,1.3191040372,0.8535379064,6.4403314759,0.3103774205,0.0775943551,0.4655661308,0.0775943551,5.8195766349,9.9320774569,0.0,0.6983491962,0.2327830654,0.0,1.3966983924,,
9.0,SETI_UTAMA___ZUNGULUKA,1397.0863641466,2009.0,6.517925831099999,9.9320774569,1.3966983924,1.3966983924,0.3103774205,10.630426653,30.1066097911,105.6835116894,68.6710042916,19.3209944278,95.2082737466,18.0018903906,15.4412766712,7.7594355132,7.7594355132,21.8816081471,3.0261798501,14.0445782788,1.6294814578,5.1212274387,0.5431604859,8.4577847094,17.69151297,25.916514614,15.6740597366,25.3733541281,5.198821793800001,11.4839645595,2.5606137193,,
10.0,COMBONI,492.2585889554001,2010.0,8.0698129337,3.2589629155,6.362737120799999,0.9311322616,1.0863209718,54.781614723,18.7778339419,20.4849097548,17.5363242598,22.1919855677,16.9155694187,23.2007121844,6.1299540554,24.8301936421,7.681841158,3.8021234015,3.1813685604,3.1037742053,1.3966983924,2.0950475886,0.6983491962,1.5518871026,1.3966983924,2.5606137193,2.0174532334,3.1813685604,0.3879717757,1.4742927475,0.1551887103,,
